16,1024
2855280.40, 14805199.52, 5000.00
148388.75, 199732.70, 5000.00
1015216.98, 1101887.07, 5000.00
1951091.19, 2090367.68, 5000.00
2789131.91, 2964554.91, 5000.00
208044.77, 4117573.65, 5000.00
1043036.50, 5013726.30, 5000.00
1954865.41, 6020449.82, 5000.00
2786904.73, 6916456.14, 5000.00
213095.27, 8083543.86, 5000.00
1045134.59, 8979550.18, 5000.00
1956963.50, 9986273.70, 5000.00
2791955.23, 10882426.35, 5000.00
210868.09, 12035445.09, 5000.00
1048908.81, 12909632.32, 5000.00
1984783.02, 13898112.93, 5000.00
2851611.25, 14800267.30, 5000.00
152078.18, 204691.45, 5000.00
1015374.30, 1104027.86, 5000.00
1950306.39, 2092802.87, 5000.00
2783900.14, 2963326.35, 5000.00
213151.50, 4120655.66, 5000.00
1043740.18, 5013713.56, 5000.00
1954123.71, 6021225.15, 5000.00
2781697.96, 6914121.26, 5000.00
218302.04, 8085878.74, 5000.00
1045876.29, 8978774.85, 5000.00
1956259.82, 9986286.44, 5000.00
